"Bezeichnung (singular)","Bezeichnung (plural)","Version","Beschreibung","Daten-Profil Typ","Tabellen-Name","Reihenfolge","Symbol","Reorgzeiten konfigurieren","API-Name","Eltern Daten-Profil","Erstellt am","Erstellt von","Geändert am","Geändert von"
"Modifikationsgrund (Quant)","Modifikationsgründe (Quant)","","","Stammdaten","modification_reason_quant","9","mdi-tooltip","Nein","modification-reason-quant","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Modifikationsgrund (Tour)","Modifikationsgründe (Tour)","","","Stammdaten","modification_reason_tour","","mdi-tooltip-text","Nein","modification-reason-tour","Profil (Tour)","28.07.2026 14:34:21 Uhr","","14.08.2026 12:55:57 Uhr","Shashank Dixit"
"Optimierungseintrag","Optimierungseinträge","","","Stammdaten","695949","","mdi-format-list-numbered","Nein","","Lokationsoptimierung (Zuschütten)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Output","Outputs","","","Stammdaten","vas_matrix_output","","mdi-download-multiple","Nein","vas-matrix-output","Matrix (VAS)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Output","Outputs","","","Stammdaten","text_matrix_output","","mdi-download-multiple","Nein","text-matrix-output","Matrix (Text)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Packschemastruktur","Packschemastrukturen","","","Stammdaten","packing_schema_structure","","mdi-table-of-contents","Nein","packing-schema-structure","Profil (Packschema)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Partnerkonto","Partnerkonten","","","Stammdaten","9a3fe3","1","mdi-scale-balance","Nein","","Buchungskreis Lademittelkonto","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Plan-Soll-Gebinde","Plan-Soll-Gebinde","","","Bewegungsdaten","planned_bundling_units","","mdi-tray","Nein","planned-bundling-units","Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Platz","Plätze","","","Stammdaten","storage_location","0","mdi-map-marker-circle","Nein","storage-location","Zone","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Platzclusterüberlauf","Platzclusterüberläufe","","","Stammdaten","storage_location_sort_overflow","","mdi-arrange-bring-forward","Nein","storage-location-sort-overflow","Zonierung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Platz-/ Zonencluster","Platz-/ Zonencluster","","","Stammdaten","task_evaluation_location_cluster","6","mdi-arrange-bring-forward","Nein","task-evaluation-location-cluster","Vorgangseinstufung II","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Pool (Auftrag)","Pool (Auftrag)","","","Stammdaten","order_pool","4","mdi-atom-variant","Nein","order-pool","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Pool (Vorgang)","Pool (Vorgang)","","","Stammdaten","task_pool","3","mdi-atom-variant","Nein","task-pool","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Position","Positionen","","","Bewegungsdaten","handling_unit_position","0","mdi-table-of-contents","Nein","handling-unit-position","Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Position","Positionen","","","Bewegungsdaten","task_handling_unit_calculation_position","0","mdi-table-of-contents","Nein","task-handling-unit-calculation-position","HU-Kalkulation","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Position","Positionen","","","Bewegungsdaten","stocktaking_receipt_position","","mdi-table-of-contents","Nein","stocktaking-receipt-position","Beleg","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Position","Positionen","","","Stammdaten","82d7f4","","mdi-table-of-contents","Nein","","Stamm (Prüfplan)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Position","Positionen","","","Bewegungsdaten","task_position","0","mdi-table-of-contents","Nein","task-position","Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Position","Positionen","","","Bewegungsdaten","order_position","0","mdi-table-of-contents","Nein","order-position","Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Produktprobe","Prüf-Lose (AP)","","","Bewegungsdaten","24174c","2","mdi-format-list-checkbox","Nein","","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Abrechnung)","Profile (Abrechnung)","","","Stammdaten","billing_profile","1","mdi-cash-fast","Nein","billing-profile","Buchungskreis Abrechnung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Auftragsabschluss)","Profile (Auftragsabschluss)","","","Stammdaten","order_closing_profile","","mdi-check-network-outline","Nein","order-closing-profile","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Auftragskalkulation)","Profile (Auftragskalkulation)","","","Stammdaten","order_calculation_profile","20","mdi-calculator","Nein","order-calculation-profile","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Auftragsvalidierung)","Profile (Auftragsvalidierung)","","","Stammdaten","order_profile_validation","21","mdi-eye-check-outline","Nein","order-profile-validation","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Belegungsvaldierung)","Profile (Belegungsvaldierung)","","","Stammdaten","occupancy_validation_profile","14","view_quilt","Nein","occupancy-validation-profile","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Benachrichtigung)","Profile (Benachrichtigung)","","Einstellungen für den Versand von Benachrichtungen.","Stammdaten","d4cd31","","mdi-email-sync-outline","Nein","","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Beschränkungen)","Profile (Beschränkung)","","","Stammdaten","e77ebb","3","mdi-cancel","Nein","","Buchungskreis Disposition","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Bestandsarten)","Profile (Bestandsarten)","","","Stammdaten","stock_qualification_profile","8","mdi-tag-multiple-outline","Nein","stock-qualification-profile","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Bestandsmerkmal)","Profile (Bestandsmerkmal)","","","Stammdaten","stock_characteristic_profile","3","mdi-fingerprint","Nein","stock-characteristic-profile","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Bestandsrestriktionen)","Profile (Bestandsrestriktionen)","","","Stammdaten","stock_restriction","15","mdi-nuke","Nein","stock-restriction","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
